temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
8.96,,0.76,6.216,,6.62,,9.43,0.99,1546300800,285.0,,5.0,
8.82,,0.77,6.216,,6.31,,10.1,0.99,1546304400,286.0,,5.0,
9.5,,0.73,6.216,,7.28,,9.49,0.99,1546308000,293.0,,5.0,
9.5,,0.71,6.216,,7.17,,10.1,0.99,1546311600,290.0,,4.42,
9.38,,0.7,6.216,,7.09,,9.7,0.97,1546315200,291.0,,4.2,
8.3,,0.75,6.216,,6.15,,7.94,0.73,1546318800,283.0,,4.16,
7.88,,0.77,6.216,,5.72,,7.6,0.75,1546322400,261.0,,4.01,
8.1,,0.79,6.216,,6.32,,6.39,0.65,1546326000,258.0,,4.69,
8.16,,0.79,6.216,,6.28,,6.79,0.86,1546329600,266.0,,4.67,
8.36,,0.79,6.216,,6.4,,7.22,0.91,1546333200,259.0,,4.89,
9.19,,0.76,6.216,,7.12,,8.39,0.91,1546336800,279.0,,5.22,
9.87,,0.76,6.216,,7.55,,10.49,0.83,1546340400,282.0,,5.86,
10.5,,0.78,6.216,,10.5,,9.3,0.89,1546344000,293.0,,6.81,
10.68,,0.77,6.216,,10.68,,11.12,0.86,1546347600,304.0,,6.86,
10.56,,0.79,6.216,,10.56,,10.7,0.74,1546351200,304.0,,6.99,
10.45,,0.79,6.216,,10.45,,11.51,0.78,1546354800,303.0,,6.9,
9.65,,0.81,6.216,,7.32,,10.27,0.45,1546358400,307.0,,6.62,
9.54,,0.71,6.216,,7.82,,7.25,0.63,1546362000,350.0,,4.62,
8.65,,0.72,6.216,,6.89,,6.75,0.89,1546365600,26.0,,3.95,
8.27,,0.71,6.216,,6.34,,7.01,0.95,1546369200,16.0,,3.33,
7.7,,0.68,6.216,,5.39,,8.07,0.68,1546372800,37.0,,2.16,
6.79,,0.71,6.216,,4.55,,7.08,0.79,1546376400,30.0,,1.97,
6.5,,0.66,6.216,,4.0,,7.81,0.92,1546380000,20.0,,0.57,
5.51,,0.72,6.216,,3.31,,6.16,0.47,1546383600,6.0,,0.95,
5.15,,0.73,6.216,,2.87,,6.16,0.78,1546387200,4.0,,0.72,
4.96,,0.73,6.216,,2.98,,5.26,0.92,1546390800,1.0,,0.59,
4.82,,0.74,6.216,,2.69,,5.6,0.96,1546394400,344.0,,0.55,
5.01,,0.72,6.216,,2.92,,5.56,0.99,1546398000,343.0,,0.41,
4.96,,0.71,6.216,,2.85,,5.6,0.99,1546401600,343.0,,0.1,
5.11,,0.7,6.216,,2.88,,5.99,0.85,1546405200,338.0,,0.06,
5.01,,0.71,6.216,,3.1,,5.12,0.97,1546408800,331.0,,0.15,
4.45,,0.73,6.216,,1.95,,6.4,0.95,1546412400,336.0,,0.01,
4.58,,0.72,6.216,,2.12,,6.36,0.95,1546416000,346.0,,-0.09,
4.62,,0.74,6.216,,2.19,,6.31,0.91,1546419600,351.0,,0.48,
